Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;Libell_d_acheminement;coordonnees_gps
21018;ARCEY;21410;;ARCEY;ARCEY;47.2746433472,4.82435366127
21023;ARNAY LE DUC;21230;;ARNAY LE DUC;ARNAY LE DUC;47.1275592202,4.47951494721
21025;ARRANS;21500;;ARRANS;ARRANS;47.6899641108,4.3280716946
21026;ASNIERES EN MONTAGNE;21500;;ASNIERES EN MONTAGNE;ASNIERES EN MONTAGNE;47.7130312269,4.29307220961
21027;ASNIERES LES DIJON;21380;;ASNIERES LES DIJON;ASNIERES LES DIJON;47.3872203652,5.04520527186
21028;ATHEE;21130;;ATHEE;ATHEE;47.2251419104,5.3617920944
21029;ATHIE;21500;;ATHIE;ATHIE;47.5619563649,4.25784537484
21035;AUVILLARS SUR SAONE;21250;;AUVILLARS SUR SAONE;AUVILLARS SUR SAONE;47.0592766074,5.10776303879
21036;AUXANT;21360;;AUXANT;AUXANT;47.1298867764,4.61921408774
21049;BARJON;21580;;BARJON;BARJON;47.6163680497,4.9625109297
21051;BAULME LA ROCHE;21410;;BAULME LA ROCHE;BAULME LA ROCHE;47.3480241996,4.79422345686
21062;BELLENOT SOUS POUILLY;21320;;BELLENOT SOUS POUILLY;BELLENOT SOUS POUILLY;47.2869221987,4.54627615974
21063;BENEUVRE;21290;;BENEUVRE;BENEUVRE;47.6934400919,4.93578663109
21065;BESSEY EN CHAUME;21360;;BESSEY EN CHAUME;BESSEY EN CHAUME;47.0874165911,4.74194703702
21066;BESSEY LA COUR;21360;;BESSEY LA COUR;BESSEY LA COUR;47.1033767349,4.60499470224
21068;BEUREY BAUGUAY;21320;;BEUREY BAUGUAY;BEUREY BAUGUAY;47.2316421588,4.43039067853
21069;BEURIZOT;21350;;BEURIZOT;BEURIZOT;47.3555109503,4.49612543597
21079;BLAGNY SUR VINGEANNE;21310;;BLAGNY SUR VINGEANNE;BLAGNY SUR VINGEANNE;47.4395134717,5.3551085135
21082;BLANCEY;21320;;BLANCEY;BLANCEY;47.3027962841,4.46007256895
21084;SOURCE SEINE;21690;;SOURCE SEINE;SOURCE SEINE;47.4889159636,4.6965588014
21089;BONNENCONTRE;21250;;BONNENCONTRE;BONNENCONTRE;47.0865135284,5.14243397683
21092;BOUILLAND;21420;;BOUILLAND;BOUILLAND;47.1352672328,4.77123835553
21114;BUFFON;21500;;BUFFON;BUFFON;47.6568975951,4.27470162202
21121;BUSSY LA PESLE;21540;;BUSSY LA PESLE;BUSSY LA PESLE;47.3566273735,4.71361342126
21122;BUSSY LE GRAND;21150;;BUSSY LE GRAND;BUSSY LE GRAND;47.5762719733,4.52287854456
21152;CHATEAUNEUF;21320;;CHATEAUNEUF;CHATEAUNEUF;47.2193918621,4.65146586699
21155;CHAUDENAY LA VILLE;21360;;CHAUDENAY LA VILLE;CHAUDENAY LA VILLE;47.1621875521,4.64388033261
21156;CHAUDENAY LE CHATEAU;21360;;CHAUDENAY LE CHATEAU;CHAUDENAY LE CHATEAU;47.1794258557,4.64303707891
21158;CHAUME ET COURCHAMP;21610;COURCHAMP;CHAUME ET COURCHAMP;CHAUME ET COURCHAMP;47.5806895666,5.36162357765
21167;CHEUGE;21310;;CHEUGE;CHEUGE;47.3898873125,5.38120926401
21169;CHEVANNES;21220;;CHEVANNES;CHEVANNES;47.1587967474,4.83357896263
21170;CHEVIGNY EN VALIERE;21200;;CHEVIGNY EN VALIERE;CHEVIGNY EN VALIERE;46.9686024857,4.98151445256
21171;CHEVIGNY ST SAUVEUR;21800;;CHEVIGNY ST SAUVEUR;CHEVIGNY ST SAUVEUR;47.2999007268,5.13656967893
21172;CHIVRES;21820;;CHIVRES;CHIVRES;46.9678867333,5.09111140101
21178;VALFORET;21220;CLEMENCEY;VALFORET;VALFORET;47.2553233042,4.88465417983
21181;CLOMOT;21230;;CLOMOT;CLOMOT;47.1923530419,4.48684407065
21186;COMBLANCHIEN;21700;;COMBLANCHIEN;COMBLANCHIEN;47.1030661161,4.91805213591
21193;CORGENGOUX;21250;;CORGENGOUX;CORGENGOUX;46.9883081581,5.01123700929
21197;CORPOYER LA CHAPELLE;21150;;CORPOYER LA CHAPELLE;CORPOYER LA CHAPELLE;47.549075893,4.60962809642
21203;COURCELLES FREMOY;21460;;COURCELLES FREMOY;COURCELLES FREMOY;47.4471425118,4.18664982284
21220;CUSSEY LES FORGES;21580;;CUSSEY LES FORGES;CUSSEY LES FORGES;47.6376201743,5.0838274211
21223;DAIX;21121;;DAIX;DAIX;47.3605540938,4.96901845433
21233;DRAMBON;21270;;DRAMBON;DRAMBON;47.3340095649,5.37849298375
21234;DREE;21540;;DREE;DREE;47.343829262,4.69577530485
21235;DUESME;21510;;DUESME;DUESME;47.6369569478,4.69319876077
21238;ECHANNAY;21540;;ECHANNAY;ECHANNAY;47.2810233886,4.68018125598
21245;EPAGNY;21380;;EPAGNY;EPAGNY;47.4523461757,5.04973678654
21246;EPERNAY SOUS GEVREY;21220;;EPERNAY SOUS GEVREY;EPERNAY SOUS GEVREY;47.1745053731,5.03736521835
21249;ESBARRES;21170;;ESBARRES;ESBARRES;47.0910694543,5.19824663928
21258;ETROCHEY;21400;;ETROCHEY;ETROCHEY;47.8893912326,4.51963624928
21259;FAIN LES MONTBARD;21500;;FAIN LES MONTBARD;FAIN LES MONTBARD;47.6174941653,4.40346528629
21267;FLAGEY ECHEZEAUX;21640;;FLAGEY ECHEZEAUX;FLAGEY ECHEZEAUX;47.1594712834,4.98251892542
21276;FONTAINES EN DUESMOIS;21450;;FONTAINES EN DUESMOIS;FONTAINES EN DUESMOIS;47.6493383803,4.53511047065
21285;FRANXAULT;21170;;FRANXAULT;FRANXAULT;47.0475621038,5.26433353481
21289;FUSSEY;21700;;FUSSEY;FUSSEY;47.1289690421,4.81617367712
21290;GEMEAUX;21120;;GEMEAUX;GEMEAUX;47.4772510476,5.14006797437
21291;GENAY;21140;;GENAY;GENAY;47.5245250886,4.28444386819
21292;GENLIS;21110;;GENLIS;GENLIS;47.2407395134,5.2209768706
21295;GEVREY CHAMBERTIN;21220;;GEVREY CHAMBERTIN;GEVREY CHAMBERTIN;47.2200822946,4.98301612333
21304;GRANCEY LE CHATEAU NEUVELLE;21580;;GRANCEY LE CHATEAU;GRANCEY LE CHATEAU;47.6736710294,5.02411190173
21305;GRANCEY SUR OURCE;21570;;GRANCEY SUR OURCE;GRANCEY SUR OURCE;47.9996727259,4.57740862706
21315;HAUTEVILLE LES DIJON;21121;;HAUTEVILLE LES DIJON;HAUTEVILLE LES DIJON;47.3757754757,4.98131727526
21322;JALLANGES;21250;;JALLANGES;JALLANGES;46.9844079109,5.17269015437
21323;JANCIGNY;21310;;JANCIGNY;JANCIGNY;47.3834784994,5.42112913608
21328;JUILLENAY;21210;;JUILLENAY;JUILLENAY;47.3613728511,4.27210840782
21329;JUILLY;21140;;JUILLY;JUILLY;47.4902826787,4.40108414456
21343;LARREY;21330;;LARREY;LARREY;47.897345637,4.42446756868
21344;LECHATELET;21250;;LECHATELET;LECHATELET;47.0530922759,5.14157005423
21349;LIERNAIS;21430;;LIERNAIS;LIERNAIS;47.2198460424,4.28865681404
21351;LONGCHAMP;21110;;LONGCHAMP;LONGCHAMP;47.2617509825,5.295682026
21354;LONGECOURT LES CULETRE;21230;;LONGECOURT LES CULETRE;LONGECOURT LES CULETRE;47.1604658111,4.55141809098
21355;LONGVIC;21600;;LONGVIC;LONGVIC;47.285832398,5.05278368483
21361;LUX;21120;;LUX;LUX;47.4883380646,5.21763359421
21367;MAGNY MONTARLOT;21130;;MAGNY MONTARLOT;MAGNY MONTARLOT;47.2486656169,5.34673748926
21371;LES MAILLYS;21130;;LES MAILLYS;LES MAILLYS;47.1456968654,5.32935525121
21377;MARCELLOIS;21350;;MARCELLOIS;MARCELLOIS;47.3488163449,4.61557807923
21379;MARCHESEUIL;21430;;MARCHESEUIL;MARCHESEUIL;47.1449732022,4.37213113513
21385;MAREY SUR TILLE;21120;;MAREY SUR TILLE;MAREY SUR TILLE;47.5943124661,5.08179187571
21388;MARLIENS;21110;;MARLIENS;MARLIENS;47.2164536426,5.17800484677
21396;MAUVILLY;21510;;MAUVILLY;MAUVILLY;47.7096666465,4.70428549427
