Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;Libell_d_acheminement;coordonnees_gps
01001;L ABERGEMENT CLEMENCIAT;01400;;L ABERGEMENT CLEMENCIAT;L ABERGEMENT CLEMENCIAT;46.1534255214,4.92611354223
01005;AMBERIEUX EN DOMBES;01330;;AMBERIEUX EN DOMBES;AMBERIEUX EN DOMBES;45.9961799872,4.91227250796
01009;ANDERT ET CONDON;01300;;ANDERT ET CONDON;ANDERT ET CONDON;45.7873565333,5.65788307924
01017;ARGIS;01230;;ARGIS;ARGIS;45.9337182132,5.48251100314
01019;ARMIX;01510;;ARMIX;ARMIX;45.8541838459,5.58357838695
01029;BEAUPONT;01270;;BEAUPONT;BEAUPONT;46.4288360203,5.26003405676
01033;VALSERHONE;01200;OCHIAZ;VALSERHONE;VALSERHONE;46.1067901755,5.83202736464
01038;BENY;01370;;BENY;BENY;46.3188629218,5.28253433405
01043;BEYNOST;01700;;BEYNOST;BEYNOST;45.8390325448,4.99738002182
01044;BILLIAT;01200;;BILLIAT;BILLIAT;46.0791346715,5.76591818163
01047;BLYES;01150;;BLYES;BLYES;45.8469686113,5.25166055884
01049;LA BOISSE;01120;;LA BOISSE;LA BOISSE;45.8446213549,5.02783224111
01050;BOISSEY;01380;;BOISSEY;BOISSEY;46.3727973545,4.9989764059
01061;BRENS;01300;;BRENS;BRENS;45.7135069062,5.68998154517
01063;BRION;01460;;BRION;BRION;46.1686327301,5.54656422194
01065;BUELLAS;01310;CORGENON;BUELLAS;BUELLAS;46.2104135162,5.14487465017
01094;CHAVANNES SUR REYSSOUZE;01190;;CHAVANNES SUR REYSSOUZE;CHAVANNES SUR REYSSOUZE;46.4379785193,5.00693749662
01095;NIVIGNE ET SURAN;01250;CHAVANNES SUR SURAN;NIVIGNE ET SURAN;NIVIGNE ET SURAN;46.2750157946,5.41649423093
01114;CONFORT;01200;;CONFORT;CONFORT;46.1543700156,5.83319395258
01116;CONTREVOZ;01300;;CONTREVOZ;CONTREVOZ;45.8009403071,5.62087768159
01125;CORVEISSIAT;01250;;CORVEISSIAT;CORVEISSIAT;46.2505107235,5.47152467919
01134;CROTTET;01290;;CROTTET;CROTTET;46.283072336,4.87747971182
01135;CROZET;01170;;CROZET;CROZET;46.2915659686,5.99510417092
01143;DIVONNE LES BAINS;01220;;DIVONNE LES BAINS;DIVONNE LES BAINS;46.3756333495,6.1158647611
01147;DOMSURE;01270;;DOMSURE;DOMSURE;46.4244066427,5.29313479651
01152;ECHALLON;01130;;ECHALLON;ECHALLON;46.2271364137,5.73330448395
01155;EVOSGES;01230;;EVOSGES;EVOSGES;45.965147537,5.50283599885
01156;FARAMANS;01800;;FARAMANS;FARAMANS;45.9104942091,5.1249258559
01158;FARGES;01550;;FARGES;FARGES;46.166230455,5.90019477201
01162;FLAXIEU;01350;;FLAXIEU;FLAXIEU;45.8113298005,5.74459048839
01165;FRANCHELEINS;01090;;FRANCHELEINS;FRANCHELEINS;46.0735946256,4.81293575559
01167;GARNERANS;01140;;GARNERANS;GARNERANS;46.2136224825,4.82843188743
01170;BEARD GEOVREISSIAT;01460;;BEARD GEOVREISSIAT;BEARD GEOVREISSIAT;46.1896733539,5.55139781353
01177;GRAND CORENT;01250;;GRAND CORENT;GRAND CORENT;46.207387937,5.43318666027
01187;HAUT VALROMEY;01260;LE GRAND ABERGEMENT;HAUT VALROMEY;HAUT VALROMEY;46.0317412192,5.70267027388
01196;JAYAT;01340;;JAYAT;JAYAT;46.3660828991,5.11429701617
01199;JUJURIEUX;01640;;JUJURIEUX;JUJURIEUX;46.0497041467,5.41094771899
01209;LEAZ;01200;;LEAZ;LEAZ;46.1086518044,5.87649017888
01213;LEYMENT;01150;;LEYMENT;LEYMENT;45.9269989549,5.2947657235
01229;MALAFRETAZ;01340;;MALAFRETAZ;MALAFRETAZ;46.3295545661,5.14386299599
01231;MANZIAT;01570;;MANZIAT;MANZIAT;46.3643830585,4.90242777155
01236;MARSONNAS;01340;;MARSONNAS;MARSONNAS;46.3409117711,5.06434294764
01240;MATAFELON GRANGES;01580;GRANGES;MATAFELON GRANGES;MATAFELON GRANGES;46.2565319445,5.53958933702
01244;MEXIMIEUX;01800;;MEXIMIEUX;MEXIMIEUX;45.9060530318,5.20404833653
01245;BOHAS MEYRIAT RIGNAT;01250;;BOHAS MEYRIAT RIGNAT;BOHAS MEYRIAT RIGNAT;46.1427060662,5.3780109646
01250;MISERIEUX;01600;;MISERIEUX;MISERIEUX;45.9762325343,4.81028471711
01252;MOGNENEINS;01140;;MOGNENEINS;MOGNENEINS;46.1446696076,4.820110702
01263;MONTMERLE SUR SAONE;01090;;MONTMERLE SUR SAONE;MONTMERLE SUR SAONE;46.0849573236,4.7608579486
01267;NURIEUX VOLOGNAT;01460;VOLOGNAT;NURIEUX VOLOGNAT;NURIEUX VOLOGNAT;46.1830720992,5.51435812316
01272;NEUVILLE LES DAMES;01400;;NEUVILLE LES DAMES;NEUVILLE LES DAMES;46.1567753049,5.00942432434
01277;NIVOLLET MONTGRIFFON;01230;;NIVOLLET MONTGRIFFON;NIVOLLET MONTGRIFFON;45.9999448244,5.45847815374
01283;OYONNAX;01100;;OYONNAX;OYONNAX;46.2605435859,5.65344320923
01283;OYONNAX;01100;BOUVENT;OYONNAX;OYONNAX;46.2605435859,5.65344320923
01285;PARCIEUX;01600;;PARCIEUX;PARCIEUX;45.9184267932,4.82747423402
01296;PIRAJOUX;01270;;PIRAJOUX;PIRAJOUX;46.385801285,5.27417594024
01307;PORT;01460;;PORT;PORT;46.155963139,5.57615832883
01308;POUGNY;01550;;POUGNY;POUGNY;46.1450914685,5.95100479291
01310;PREMEYZEL;01300;;PREMEYZEL;PREMEYZEL;45.6806263123,5.64396081449
01317;RAMASSE;01250;;RAMASSE;RAMASSE;46.1905550894,5.35572056985
01332;ST ANDRE DE BAGE;01380;;ST ANDRE DE BAGE;ST ANDRE DE BAGE;46.298541568,4.91411565769
01342;STE CROIX;01120;;STE CROIX;STE CROIX;45.895522477,5.04935536228
01344;ST DENIS LES BOURG;01000;;ST DENIS LES BOURG;ST DENIS LES BOURG;46.2111998453,5.18462806771
01352;ST ETIENNE SUR REYSSOUZE;01190;;ST ETIENNE SUR REYSSOUZE;ST ETIENNE SUR REYSSOUZE;46.4030398952,5.00605581573
01355;ST GENIS SUR MENTHON;01380;;ST GENIS SUR MENTHON;ST GENIS SUR MENTHON;46.2815955593,5.01311826405
01360;ST JEAN DE GONVILLE;01630;;ST JEAN DE GONVILLE;ST JEAN DE GONVILLE;46.2178585727,5.94203093769
01369;ST JUST;01250;;ST JUST;ST JUST;46.1929758576,5.28494181398
01370;ST LAURENT SUR SAONE;01750;;ST LAURENT SUR SAONE;ST LAURENT SUR SAONE;46.3051486294,4.83949202669
01380;ST NIZIER LE BOUCHOUX;01560;;ST NIZIER LE BOUCHOUX;ST NIZIER LE BOUCHOUX;46.4528537121,5.1759906585
01390;ST VULBAS;01150;;ST VULBAS;ST VULBAS;45.8222315102,5.27019602929
01400;SEILLONNAZ;01470;;SEILLONNAZ;SEILLONNAZ;45.7976976614,5.49810658524
01405;SERVAS;01960;;SERVAS;SERVAS;46.1385540577,5.17887070992
01406;SERVIGNAT;01560;;SERVIGNAT;SERVIGNAT;46.4346497878,5.05559973107
01408;SIMANDRE SUR SURAN;01250;;SIMANDRE SUR SURAN;SIMANDRE SUR SURAN;46.2340471594,5.42240815305
01410;SONTHONNAX LA MONTAGNE;01580;NAPT;SONTHONNAX LA MONTAGNE;SONTHONNAX LA MONTAGNE;46.2229768712,5.50566888767
01425;LA TRANCLIERE;01160;;LA TRANCLIERE;LA TRANCLIERE;46.0970027075,5.26099875456
01436;VESANCY;01170;;VESANCY;VESANCY;46.3610768127,6.08470665475
01437;VESCOURS;01560;;VESCOURS;VESCOURS;46.4743960759,5.02617426573
01441;VIEU D IZENAVE;01430;;VIEU D IZENAVE;VIEU D IZENAVE;46.0853386653,5.54922100161
01443;VILLARS LES DOMBES;01330;;VILLARS LES DOMBES;VILLARS LES DOMBES;45.9927150222,5.04507856642
01449;VILLETTE SUR AIN;01320;;VILLETTE SUR AIN;VILLETTE SUR AIN;46.0099989032,5.25214547187
01450;VILLIEU LOYES MOLLON;01800;LOYES;VILLIEU LOYES MOLLON;VILLIEU LOYES MOLLON;45.932014998,5.22953071636
01452;VIRIEU LE GRAND;01510;;VIRIEU LE GRAND;VIRIEU LE GRAND;45.8464417872,5.63971940347
01453;ARVIERE EN VALROMEY;01510;CHAVORNAY;ARVIERE EN VALROMEY;ARVIERE EN VALROMEY;45.9063608209,5.73707051523
02008;AIZY JOUY;02370;;AIZY JOUY;AIZY JOUY;49.4384256824,3.51149185429
02015;ANCIENVILLE;02600;;ANCIENVILLE;ANCIENVILLE;49.2186389559,3.20808809779
02018;ANIZY LE GRAND;02320;FAUCOUCOURT;ANIZY LE GRAND;ANIZY LE GRAND;49.5045058305,3.43129584952
02019;ANNOIS;02480;;ANNOIS;ANNOIS;49.7210674108,3.17611501401
02020;ANY MARTIN RIEUX;02500;;ANY MARTIN RIEUX;ANY MARTIN RIEUX;49.8823706752,4.22351346907
02035;AUDIGNY;02120;;AUDIGNY;AUDIGNY;49.8660645425,3.6312599901
02050;BARZY EN THIERACHE;02170;;BARZY EN THIERACHE;BARZY EN THIERACHE;50.0395375873,3.74901595409
02052;BASSOLES AULERS;02380;;BASSOLES AULERS;BASSOLES AULERS;49.5332813699,3.38492604839
02056;BEAUMONT EN BEINE;02300;;BEAUMONT EN BEINE;BEAUMONT EN BEINE;49.6874633882,3.13133369335
02057;BEAUREVOIR;02110;;BEAUREVOIR;BEAUREVOIR;49.9965608612,3.32970842537
02058;BEAURIEUX;02160;;BEAURIEUX;BEAURIEUX;49.402806797,3.75287161991
02067;BERGUES SUR SAMBRE;02450;;BERGUES SUR SAMBRE;BERGUES SUR SAMBRE;50.0294686238,3.711371001
02068;BERLANCOURT;02250;;BERLANCOURT;BERLANCOURT;49.7808533631,3.75710714699
02073;BERRY AU BAC;02190;;BERRY AU BAC;BERRY AU BAC;49.4084985083,3.8985497785
02074;BERTAUCOURT EPOURDON;02800;;BERTAUCOURT EPOURDON;BERTAUCOURT EPOURDON;49.6276056573,3.39748988886
02078;BESME;02300;;BESME;BESME;49.5341682819,3.16474171361
02082;BEUGNEUX;02210;;BEUGNEUX;BEUGNEUX;49.2275759309,3.41647403702
02087;BIEUXY;02290;;BIEUXY;BIEUXY;49.4476050585,3.26985890807
02088;BIEVRES;02860;;BIEVRES;BIEVRES;49.4921822965,3.7137356904
02089;BILLY SUR AISNE;02200;;BILLY SUR AISNE;BILLY SUR AISNE;49.3556556532,3.37609947556
02093;BLERANCOURT;02300;;BLERANCOURT;BLERANCOURT;49.5076223945,3.15179502187
02095;BOHAIN EN VERMANDOIS;02110;;BOHAIN EN VERMANDOIS;BOHAIN EN VERMANDOIS;49.989032874,3.46522354976
02096;BOIS LES PARGNY;02270;;BOIS LES PARGNY;BOIS LES PARGNY;49.7369350689,3.65414834535
02099;BONNESVALYN;02400;;BONNESVALYN;BONNESVALYN;49.1264049496,3.32541661771
02106;BOURG ET COMIN;02160;;BOURG ET COMIN;BOURG ET COMIN;49.4022354002,3.65944342757
02107;BOURGUIGNON SOUS COUCY;02300;;BOURGUIGNON SOUS COUCY;BOURGUIGNON SOUS COUCY;49.5427641575,3.15422957657
02117;BRAY ST CHRISTOPHE;02480;;BRAY ST CHRISTOPHE;BRAY ST CHRISTOPHE;49.7746700975,3.14070965091
02121;BRENY;02210;;BRENY;BRENY;49.1842783438,3.34972495405
02125;BRUMETZ;02810;;BRUMETZ;BRUMETZ;49.1103074474,3.15291445147
02135;BUIRONFOSSE;02620;;BUIRONFOSSE;BUIRONFOSSE;49.9577111138,3.838016082
02138;BUZANCY;02200;;BUZANCY;BUZANCY;49.3099528163,3.3478744079
02141;LA CAPELLE;02260;;LA CAPELLE;LA CAPELLE;49.9732109539,3.91398483546
02144;CAULAINCOURT;02490;;CAULAINCOURT;CAULAINCOURT;49.864658382,3.11126489473
02152;CERSEUIL;02220;;CERSEUIL;CERSEUIL;49.324784775,3.51746919082
02153;CESSIERES SUZY;02320;CESSIERES;CESSIERES SUZY;CESSIERES SUZY;49.5595788079,3.50190405701
02155;CHAILLEVOIS;02000;;CHAILLEVOIS;CHAILLEVOIS;49.5081654549,3.52234605948
02159;CHAMPS;02670;;CHAMPS;CHAMPS;49.5434967943,3.2618311238
02160;CHAOURSE;02340;;CHAOURSE;CHAOURSE;49.7007898116,3.98562292281
02162;LA CHAPELLE SUR CHEZY;02570;;LA CHAPELLE SUR CHEZY;LA CHAPELLE SUR CHEZY;48.9492049177,3.37662807022
02165;CHARMES;02800;;CHARMES;CHARMES;49.6508532429,3.38525104222
02171;CHAUDARDES;02160;;CHAUDARDES;CHAUDARDES;49.3962562981,3.78942153696
02173;CHAUNY;02300;;CHAUNY;CHAUNY;49.619880673,3.21875355041
02181;CHERY LES ROZOY;02360;;CHERY LES ROZOY;CHERY LES ROZOY;49.7222192886,4.1011989282
02183;CHEVREGNY;02000;;CHEVREGNY;CHEVREGNY;49.4661009452,3.59365333616
02184;CHEVRESIS MONCEAU;02270;;CHEVRESIS MONCEAU;CHEVRESIS MONCEAU;49.7616780422,3.5837583969
02189;CHIVRES EN LAONNOIS;02350;;CHIVRES EN LAONNOIS;CHIVRES EN LAONNOIS;49.6268606782,3.85603255601
02190;CHIVRES VAL;02880;;CHIVRES VAL;CHIVRES VAL;49.4029298198,3.43836038727
02196;CLACY ET THIERRET;02000;;CLACY ET THIERRET;CLACY ET THIERRET;49.5524137158,3.56557185412
02198;CLAMECY;02880;;CLAMECY;CLAMECY;49.4281077825,3.36378754787
02219;COUCY LA VILLE;02380;;COUCY LA VILLE;COUCY LA VILLE;49.5405792355,3.34372156034
02220;COULONGES COHAN;02130;;COULONGES COHAN;COULONGES COHAN;49.1980463524,3.62776592985
02220;COULONGES COHAN;02130;COHAN;COULONGES COHAN;COULONGES COHAN;49.1980463524,3.62776592985
02241;LA CROIX SUR OURCQ;02210;;LA CROIX SUR OURCQ;LA CROIX SUR OURCQ;49.1598010602,3.35048905306
02242;CROUTTES SUR MARNE;02310;;CROUTTES SUR MARNE;CROUTTES SUR MARNE;48.9791200153,3.24757642131
02245;CUFFIES;02880;;CUFFIES;CUFFIES;49.4081126802,3.32236958826
02249;CUIRY HOUSSE;02220;;CUIRY HOUSSE;CUIRY HOUSSE;49.2904033438,3.48843248507
02252;CUISSY ET GENY;02160;;CUISSY ET GENY;CUISSY ET GENY;49.4034575347,3.70612307803
02253;CUISY EN ALMONT;02200;;CUISY EN ALMONT;CUISY EN ALMONT;49.4207417064,3.24887510168
02255;CYS LA COMMUNE;02220;;CYS LA COMMUNE;CYS LA COMMUNE;49.3837163848,3.57235420125
02256;DAGNY LAMBERCY;02140;;DAGNY LAMBERCY;DAGNY LAMBERCY;49.7690562311,4.04218248631
02259;DAMPLEUX;02600;;DAMPLEUX;DAMPLEUX;49.2414407733,3.14413128827
02272;DROIZY;02210;;DROIZY;DROIZY;49.2773564352,3.38965007811
02273;DURY;02480;;DURY;DURY;49.751235296,3.13377121735
02280;EPIEDS;02400;;EPIEDS;EPIEDS;49.1045180167,3.45072347386
02289;ESSISES;02570;;ESSISES;ESSISES;48.9666904843,3.41396491705
02308;FESMY LE SART;02450;;FESMY LE SART;FESMY LE SART;50.0482154856,3.69825469199
02309;FESTIEUX;02840;;FESTIEUX;FESTIEUX;49.5252642949,3.76013631694
02310;FIEULAINE;02110;;FIEULAINE;FIEULAINE;49.9018502295,3.44594045878
02316;FLEURY;02600;;FLEURY;FLEURY;49.2652863131,3.15947064674
02318;FOLEMBRAY;02670;;FOLEMBRAY;FOLEMBRAY;49.5492820594,3.29319165625
02326;FONTENOY;02290;;FONTENOY;FONTENOY;49.4099999437,3.19454758662
02329;FOURDRAIN;02870;;FOURDRAIN;FOURDRAIN;49.6194184451,3.46049121118
02330;FRANCILLY SELENCY;02760;;FRANCILLY SELENCY;FRANCILLY SELENCY;49.8546596853,3.22822036861
02332;FRESNES EN TARDENOIS;02130;;FRESNES EN TARDENOIS;FRESNES EN TARDENOIS;49.1427948273,3.54893406985
02334;FRESNOY LE GRAND;02230;;FRESNOY LE GRAND;FRESNOY LE GRAND;49.9540724704,3.41858032499
02342;GERGNY;02260;;GERGNY;GERGNY;49.9326319225,3.92972384714
02352;GOUY;02420;;GOUY;GOUY;49.9987486908,3.26458305638
02358;GROUGIS;02110;;GROUGIS;GROUGIS;49.9508110437,3.53098081744
02362;GUIVRY;02300;;GUIVRY;GUIVRY;49.651625761,3.12103476493
02368;HARAMONT;02600;;HARAMONT;HARAMONT;49.2872759039,3.03148977109
02371;HARLY;02100;;HARLY;HARLY;49.8407051764,3.33484724239
02380;HINACOURT;02440;;HINACOURT;HINACOURT;49.7459956466,3.29422566384
02387;ITANCOURT;02240;;ITANCOURT;ITANCOURT;49.803442885,3.34942752527
02390;JEANCOURT;02490;;JEANCOURT;JEANCOURT;49.9288562683,3.14778805313
02391;JEANTES;02140;;JEANTES;JEANTES;49.8127276252,4.06715502895
02397;JUSSY;02480;;JUSSY;JUSSY;49.7172050931,3.23611732777
02410;LARGNY SUR AUTOMNE;02600;;LARGNY SUR AUTOMNE;LARGNY SUR AUTOMNE;49.2610748419,3.05411123113
02413;LAVAL EN LAONNOIS;02860;;LAVAL EN LAONNOIS;LAVAL EN LAONNOIS;49.5029905064,3.58758242212
02422;LESQUIELLES ST GERMAIN;02120;;LESQUIELLES ST GERMAIN;LESQUIELLES ST GERMAIN;49.931687068,3.62808644318
02427;LHUYS;02220;;LHUYS;LHUYS;49.2728528048,3.54230635286
02439;LES SEPTVALLONS;02160;GLENNES;LES SEPTVALLONS;LES SEPTVALLONS;49.3603355862,3.65567844397
02439;LES SEPTVALLONS;02160;REVILLON;LES SEPTVALLONS;LES SEPTVALLONS;49.3603355862,3.65567844397
02454;LA MALMAISON;02190;;LA MALMAISON;LA MALMAISON;49.5165178767,4.00048717912
02461;MAREST DAMPCOURT;02300;;MAREST DAMPCOURT;MAREST DAMPCOURT;49.59443854,3.14627124688
02480;MESBRECOURT RICHECOURT;02270;;MESBRECOURT RICHECOURT;MESBRECOURT RICHECOURT;49.710385665,3.53739733076
02488;MOLAIN;02110;;MOLAIN;MOLAIN;50.03359227,3.52985658168
02491;MONCEAU LE NEUF ET FAUCOUZY;02270;;MONCEAU LE NEUF ET FAUCOUZY;MONCEAU LE NEUF ET FAUCOUZY;49.7845792788,3.63110860935
02494;MONCEAU SUR OISE;02120;;MONCEAU SUR OISE;MONCEAU SUR OISE;49.9097732744,3.69947432588
02495;MONDREPUIS;02500;;MONDREPUIS;MONDREPUIS;49.9637441269,4.05128113518
02498;MONTAIGU;02820;;MONTAIGU;MONTAIGU;49.5531328831,3.84439779259
02499;MONTBAVIN;02000;;MONTBAVIN;MONTBAVIN;49.5295376592,3.51319789821
02502;MONTCORNET;02340;;MONTCORNET;MONTCORNET;49.6890129328,4.02915061151
02509;MONTHIERS;02400;;MONTHIERS;MONTHIERS;49.1085987235,3.29437776654
02511;MONTIGNY EN ARROUAISE;02110;;MONTIGNY EN ARROUAISE;MONTIGNY EN ARROUAISE;49.9120067618,3.48306674241
02514;MONTIGNY LENGRAIN;02290;;MONTIGNY LENGRAIN;MONTIGNY LENGRAIN;49.3726900463,3.09924630011
02515;MONTIGNY LES CONDE;02330;;MONTIGNY LES CONDE;MONTIGNY LES CONDE;48.9830055534,3.56635546224
02518;MONTLEVON;02330;;MONTLEVON;MONTLEVON;48.9627005485,3.51543798042
02522;MONT ST JEAN;02360;;MONT ST JEAN;MONT ST JEAN;49.7932196838,4.21125667983
02527;MORSAIN;02290;;MORSAIN;MORSAIN;49.4616807631,3.19122405616
02529;MORTIERS;02270;;MORTIERS;MORTIERS;49.6934508264,3.66411841593
02530;MOULINS;02160;;MOULINS;MOULINS;49.4198471298,3.67884923026
02532;MOY DE L AISNE;02610;;MOY DE L AISNE;MOY DE L AISNE;49.750274961,3.35100553228
02533;MURET ET CROUTTES;02210;;MURET ET CROUTTES;MURET ET CROUTTES;49.2781417953,3.43464742094
02540;NESLES LA MONTAGNE;02400;;NESLES LA MONTAGNE;NESLES LA MONTAGNE;48.9997837313,3.44587892818
02543;NEUILLY ST FRONT;02470;;NEUILLY ST FRONT;NEUILLY ST FRONT;49.1626366671,3.26436269893
02545;LA NEUVILLE BOSMONT;02250;;LA NEUVILLE BOSMONT;LA NEUVILLE BOSMONT;49.7145039747,3.83367274994
02551;NEUVILLE SUR MARGIVAL;02880;;NEUVILLE SUR MARGIVAL;NEUVILLE SUR MARGIVAL;49.4548729773,3.3986658815
02558;LE NOUVION EN THIERACHE;02170;;LE NOUVION EN THIERACHE;LE NOUVION EN THIERACHE;50.0086867152,3.80929288198
02559;NOUVION ET CATILLON;02270;PONT A BUCY;NOUVION ET CATILLON;NOUVION ET CATILLON;49.7075667391,3.49359729343
02565;OEUILLY;02160;;OEUILLY;OEUILLY;49.3928856944,3.68222741301
02568;OIGNY EN VALOIS;02600;;OIGNY EN VALOIS;OIGNY EN VALOIS;49.2137237953,3.1302728623
02570;OLLEZY;02480;;OLLEZY;OLLEZY;49.729996536,3.14607261695
02573;ORGEVAL;02860;;ORGEVAL;ORGEVAL;49.5041140764,3.70337016497
02575;ORIGNY STE BENOITE;02390;;ORIGNY STE BENOITE;ORIGNY STE BENOITE;49.8268502674,3.52909324665
02576;OSLY COURTIL;02290;;OSLY COURTIL;OSLY COURTIL;49.3995301311,3.23736511582
02585;PARCY ET TIGNY;02210;;PARCY ET TIGNY;PARCY ET TIGNY;49.2703704352,3.32906709704
02586;PARFONDEVAL;02360;;PARFONDEVAL;PARFONDEVAL;49.7443573688,4.16145285338
02589;PARGNY FILAIN;02000;;PARGNY FILAIN;PARGNY FILAIN;49.4629055692,3.53929108659
02590;PARGNY LA DHUYS;02330;;PARGNY LA DHUYS;PARGNY LA DHUYS;48.9545509576,3.56357370593
02591;PARGNY LES BOIS;02270;;PARGNY LES BOIS;PARGNY LES BOIS;49.7323072713,3.61788330529
02598;PERNANT;02200;;PERNANT;PERNANT;49.3756522114,3.23031459047
02606;LE PLESSIER HULEU;02210;;LE PLESSIER HULEU;LE PLESSIER HULEU;49.2388752756,3.34814266149
02607;PLOISY;02200;;PLOISY;PLOISY;49.330941238,3.27456677749
02613;PONTAVERT;02160;;PONTAVERT;PONTAVERT;49.4176198194,3.82051815377
02622;PRIEZ;02470;;PRIEZ;PRIEZ;49.1306197467,3.26280717645
02624;PROISY;02120;;PROISY;PROISY;49.8906172484,3.75241120947
02632;QUINCY BASSE;02380;;QUINCY BASSE;QUINCY BASSE;49.5091437001,3.38465364189
02640;RENANSART;02240;;RENANSART;RENANSART;49.7340931411,3.45338513198
02643;RESSONS LE LONG;02290;;RESSONS LE LONG;RESSONS LE LONG;49.3881779495,3.1411755288
02649;ROCOURT ST MARTIN;02210;;ROCOURT ST MARTIN;ROCOURT ST MARTIN;49.1453872803,3.3891401292
02659;ROUVROY;02100;;ROUVROY;ROUVROY;49.8579447094,3.33298681219
02661;ROYAUCOURT ET CHAILVET;02000;;ROYAUCOURT ET CHAILVET;ROYAUCOURT ET CHAILVET;49.5119671872,3.53821206051
02664;ROZOY BELLEVALLE;02540;;ROZOY BELLEVALLE;ROZOY BELLEVALLE;48.9244622578,3.45003603667
02670;ST ALGIS;02260;;ST ALGIS;ST ALGIS;49.8944330304,3.82546447463
02674;ST CLEMENT;02360;;ST CLEMENT;ST CLEMENT;49.7752799579,4.07288901165
02676;ST ERME OUTRE ET RAMECOURT;02820;;ST ERME OUTRE ET RAMECOURT;ST ERME OUTRE ET RAMECOURT;49.5182833727,3.86386406835
02684;ST MICHEL;02830;;ST MICHEL;ST MICHEL;49.9259700696,4.15288229364
02691;ST QUENTIN;02100;;ST QUENTIN;ST QUENTIN;49.8472336321,3.27769499462
02693;ST REMY BLANZY;02210;;ST REMY BLANZY;ST REMY BLANZY;49.2457583592,3.30773725902
02695;ST THIBAUT;02220;;ST THIBAUT;ST THIBAUT;49.2891405131,3.61650327087
02696;ST THOMAS;02820;;ST THOMAS;ST THOMAS;49.5014100438,3.81925378492
02699;SAPONAY;02130;;SAPONAY;SAPONAY;49.2143831516,3.48437985358
02705;LA SELVE;02150;;LA SELVE;LA SELVE;49.5698786702,3.99524867672
02707;SEPTVAUX;02410;;SEPTVAUX;SEPTVAUX;49.5697880929,3.38679579518
02708;SEQUEHART;02420;;SEQUEHART;SEQUEHART;49.9320260511,3.34096519199
02709;SERAIN;02110;;SERAIN;SERAIN;50.0246912807,3.36304349229
02717;SERY LES MEZIERES;02240;;SERY LES MEZIERES;SERY LES MEZIERES;49.7647253763,3.42321314919
02721;SISSY;02240;;SISSY;SISSY;49.8106555228,3.42084647603
02726;SOMMETTE EAUCOURT;02480;;SOMMETTE EAUCOURT;SOMMETTE EAUCOURT;49.727418066,3.11947808471
02727;SONS ET RONCHERES;02270;;SONS ET RONCHERES;SONS ET RONCHERES;49.7689463972,3.66761782458
02737;TAVAUX ET PONTSERICOURT;02250;;TAVAUX ET PONTSERICOURT;TAVAUX ET PONTSERICOURT;49.7296446334,3.9190519179
02738;TERGNIER;02700;QUESSY;TERGNIER;TERGNIER;49.6572646109,3.29924077478
02740;THENAILLES;02140;;THENAILLES;THENAILLES;49.8149576709,3.95232479493
02741;THENELLES;02390;;THENELLES;THENELLES;49.8314948078,3.45894075748
02743;LE THUEL;02340;;LE THUEL;LE THUEL;49.6413105954,4.08903091475
02749;TROESNES;02460;;TROESNES;TROESNES;49.1981484588,3.1768274022
02753;TUPIGNY;02120;;TUPIGNY;TUPIGNY;49.9705608416,3.59399622464
02761;VARISCOURT;02190;;VARISCOURT;VARISCOURT;49.4148891865,3.98066282251
02765;VAUCELLES ET BEFFECOURT;02000;;VAUCELLES ET BEFFECOURT;VAUCELLES ET BEFFECOURT;49.5206900038,3.55877460724
02768;VAUXAILLON;02320;;VAUXAILLON;VAUXAILLON;49.4770651148,3.40823751638
02773;VAUXTIN;02220;;VAUXTIN;VAUXTIN;49.3454673056,3.60165884249
02774;VENDELLES;02490;;VENDELLES;VENDELLES;49.9078313873,3.1381693574
02776;VENDHUILE;02420;;VENDHUILE;VENDHUILE;50.0120254621,3.20888614063
02779;VENEROLLES;02510;;VENEROLLES;VENEROLLES;49.9903433031,3.63008652624
02780;VENIZEL;02200;;VENIZEL;VENIZEL;49.3676425771,3.39248543249
02783;GRAND VERLY;02120;;GRAND VERLY;GRAND VERLY;49.9434199886,3.58138282505
02784;PETIT VERLY;02630;;PETIT VERLY;PETIT VERLY;49.9581493631,3.56275189688
02788;VERSIGNY;02800;;VERSIGNY;VERSIGNY;49.658136733,3.44270966266
02797;VIEL ARCY;02160;;VIEL ARCY;VIEL ARCY;49.3789345254,3.62589443596
02805;VILLENEUVE ST GERMAIN;02200;;VILLENEUVE ST GERMAIN;VILLENEUVE ST GERMAIN;49.3789013616,3.36175815803
02809;VILLERS AGRON AIGUIZY;02130;;VILLERS AGRON AIGUIZY;VILLERS AGRON AIGUIZY;49.1632072457,3.71636244573
02820;VIRY NOUREUIL;02300;;VIRY NOUREUIL;VIRY NOUREUIL;49.6385456387,3.24823591959
02821;VIVAISE;02870;;VIVAISE;VIVAISE;49.6228688465,3.56431943267
02828;VREGNY;02880;;VREGNY;VREGNY;49.4140619853,3.4197356356
02833;WIMY;02500;;WIMY;WIMY;49.9480535708,3.99735885106
03009;AUBIGNY;03460;;AUBIGNY;AUBIGNY;46.6733055007,3.16204245022
03010;AUDES;03190;;AUDES;AUDES;46.4607707399,2.55904786289
